date,product,capacity_price,offered_capacity,allocated_capacity,month
2020-11-01,NEG_12_16,42.22,40,40,11
2020-11-02,NEG_12_16,20.0,100,100,11
2020-11-03,NEG_12_16,118.0,80,80,11
2020-11-04,NEG_12_16,65.88,80,80,11
2020-11-05,NEG_12_16,33.11,26,26,11
2020-11-06,NEG_12_16,20.9,80,58,11
2020-11-07,NEG_12_16,14.9,100,100,11
2020-11-08,NEG_12_16,10.9,20,20,11
2020-11-09,NEG_12_16,9.27,80,80,11
2020-11-10,NEG_12_16,6.5,80,80,11
2020-11-11,NEG_12_16,5.0,80,80,11
2020-11-12,NEG_12_16,6.67,79,79,11
2020-11-13,NEG_12_16,5.0,79,79,11
2020-11-14,NEG_12_16,5.96,30,30,11
2020-11-15,NEG_12_16,48.34,20,20,11
2020-11-16,NEG_12_16,25.0,20,20,11
2020-11-17,NEG_12_16,18.33,26,26,11
2020-11-18,NEG_12_16,10.0,79,79,11
2020-11-19,NEG_12_16,14.21,20,20,11
2020-11-20,NEG_12_16,8.6,80,80,11
2020-11-21,NEG_12_16,13.2,30,30,11
2020-11-22,NEG_12_16,19.21,20,20,11
2020-11-23,NEG_12_16,9.4,50,50,11
2020-11-24,NEG_12_16,7.5,80,80,11
2020-11-25,NEG_12_16,5.46,50,50,11
2020-11-26,NEG_12_16,4.16,50,24,11
2020-11-27,NEG_12_16,3.25,100,100,11
2020-11-28,NEG_12_16,6.0,100,100,11
2020-11-29,NEG_12_16,5.4,100,100,11
2020-11-30,NEG_12_16,3.6,30,30,11
2020-12-01,NEG_12_16,7.33,30,30,12
2020-12-02,NEG_12_16,5.0,80,80,12
2020-12-03,NEG_12_16,4.91,100,100,12
2020-12-04,NEG_12_16,5.4,80,80,12
2020-12-05,NEG_12_16,4.09,50,50,12
2020-12-06,NEG_12_16,3.23,50,33,12
2020-12-07,NEG_12_16,2.77,33,33,12
2020-12-08,NEG_12_16,2.48,80,72,12
2020-12-09,NEG_12_16,2.29,30,30,12
2020-12-10,NEG_12_16,2.5,50,50,12
2020-12-11,NEG_12_16,4.8,24,24,12
2020-12-12,NEG_12_16,4.56,80,80,12
2020-12-13,NEG_12_16,3.23,30,30,12
2020-12-14,NEG_12_16,3.79,80,80,12
2020-12-15,NEG_12_16,3.19,24,24,12
2020-12-16,NEG_12_16,2.84,80,50,12
2020-12-17,NEG_12_16,3.06,80,80,12
2020-12-18,NEG_12_16,3.1,40,40,12
2020-12-19,NEG_12_16,5.0,30,30,12
2020-12-20,NEG_12_16,3.96,30,30,12
2020-12-21,NEG_12_16,4.36,20,20,12
2020-12-22,NEG_12_16,16.33,100,100,12
2020-12-23,NEG_12_16,6.09,100,100,12
2020-12-24,NEG_12_16,12.8,30,30,12
2020-12-25,NEG_12_16,10.12,30,30,12
2020-12-26,NEG_12_16,28.35,30,30,12
2020-12-27,NEG_12_16,91.12,21,21,12
2020-12-28,NEG_12_16,26.63,30,30,12
2020-12-29,NEG_12_16,8.5,24,24,12
2020-12-30,NEG_12_16,7.26,80,80,12
2020-12-31,NEG_12_16,6.3,100,100,12
2021-01-01,NEG_12_16,5.83,40,40,1
2021-01-02,NEG_12_16,4.6,24,24,1
2021-01-03,NEG_12_16,5.04,30,30,1
2021-01-04,NEG_12_16,4.2,24,24,1
2021-01-05,NEG_12_16,3.68,30,30,1
2021-01-06,NEG_12_16,3.25,25,25,1
2021-01-07,NEG_12_16,2.87,50,50,1
2021-01-08,NEG_12_16,2.51,50,50,1
2021-01-09,NEG_12_16,2.59,50,50,1
2021-01-10,NEG_12_16,2.24,30,30,1
2021-01-11,NEG_12_16,2.07,40,40,1
2021-01-12,NEG_12_16,2.21,20,20,1
2021-01-13,NEG_12_16,2.0,20,20,1
2021-01-14,NEG_12_16,1.84,50,50,1
2021-01-15,NEG_12_16,1.7,50,50,1
2021-01-16,NEG_12_16,1.62,40,40,1
2021-01-17,NEG_12_16,1.48,30,30,1
2021-01-18,NEG_12_16,1.46,40,40,1
2021-01-19,NEG_12_16,1.5,20,20,1
2021-01-20,NEG_12_16,1.41,20,20,1
2021-01-21,NEG_12_16,7.35,20,20,1
2021-01-22,NEG_12_16,2.8,24,24,1
2021-01-23,NEG_12_16,1.89,40,40,1
2021-01-24,NEG_12_16,1.42,40,40,1
2021-01-25,NEG_12_16,1.52,50,50,1
2021-01-26,NEG_12_16,1.68,30,30,1
2021-01-27,NEG_12_16,1.42,50,50,1
2021-01-28,NEG_12_16,1.26,50,50,1
2021-01-29,NEG_12_16,1.21,100,100,1
2021-01-30,NEG_12_16,1.3,87,87,1
2021-01-31,NEG_12_16,1.27,86,86,1
2021-02-01,NEG_12_16,1.33,100,100,2
2021-02-02,NEG_12_16,1.3,100,33,2
2021-02-03,NEG_12_16,4.34,100,100,2
2021-02-04,NEG_12_16,3.86,95,95,2
2021-02-05,NEG_12_16,4.3,100,100,2
2021-02-06,NEG_12_16,9.12,20,20,2
2021-02-07,NEG_12_16,17.78,20,20,2
2021-02-08,NEG_12_16,8.75,100,100,2
2021-02-09,NEG_12_16,5.0,30,30,2
2021-02-10,NEG_12_16,4.14,30,30,2
2021-02-11,NEG_12_16,3.31,60,60,2
2021-02-12,NEG_12_16,3.7,40,40,2
2021-02-13,NEG_12_16,3.39,40,40,2
2021-02-14,NEG_12_16,17.2,24,24,2
2021-02-15,NEG_12_16,7.68,40,40,2
2021-02-16,NEG_12_16,5.01,24,24,2
2021-02-17,NEG_12_16,6.0,40,40,2
2021-02-18,NEG_12_16,6.0,100,100,2
2021-02-19,NEG_12_16,5.0,100,100,2
2021-02-20,NEG_12_16,20.0,16,16,2
2021-02-21,NEG_12_16,23.48,16,16,2
2021-02-22,NEG_12_16,11.91,100,100,2
2021-02-23,NEG_12_16,10.34,100,100,2
2021-02-24,NEG_12_16,35.12,50,50,2
2021-02-25,NEG_12_16,21.0,100,100,2
2021-02-26,NEG_12_16,15.04,100,78,2
2021-02-27,NEG_12_16,18.18,100,100,2
2021-02-28,NEG_12_16,24.57,25,25,2
2021-03-01,NEG_12_16,11.0,100,100,3
2021-03-02,NEG_12_16,12.02,40,40,3
2021-03-03,NEG_12_16,10.59,100,85,3
2021-03-04,NEG_12_16,8.0,24,24,3
2021-03-05,NEG_12_16,7.5,75,75,3
2021-03-06,NEG_12_16,21.42,100,100,3
2021-03-07,NEG_12_16,22.84,14,14,3
2021-03-08,NEG_12_16,10.3,100,100,3
2021-03-09,NEG_12_16,7.9,50,35,3
2021-03-10,NEG_12_16,6.62,24,24,3
2021-03-11,NEG_12_16,47.81,34,34,3
2021-03-12,NEG_12_16,64.5,24,24,3
2021-03-13,NEG_12_16,92.08,10,10,3
2021-03-14,NEG_12_16,92.5,14,14,3
2021-03-15,NEG_12_16,38.09,100,100,3
2021-03-16,NEG_12_16,16.84,100,100,3
2021-03-17,NEG_12_16,10.04,24,24,3
2021-03-18,NEG_12_16,8.08,24,24,3
2021-03-19,NEG_12_16,7.2,90,90,3
2021-03-20,NEG_12_16,7.83,16,16,3
2021-03-21,NEG_12_16,50.0,16,16,3
2021-03-22,NEG_12_16,17.8,35,35,3
2021-03-23,NEG_12_16,10.43,50,50,3
2021-03-24,NEG_12_16,9.01,22,22,3
2021-03-25,NEG_12_16,6.48,100,24,3
2021-03-26,NEG_12_16,21.59,20,20,3
2021-03-27,NEG_12_16,83.33,20,20,3
2021-03-28,NEG_12_16,138.0,20,20,3
2021-03-29,NEG_12_16,41.8,28,28,3
2021-03-30,NEG_12_16,34.67,40,40,3
2021-03-31,NEG_12_16,24.67,100,100,3
2021-04-01,NEG_12_16,19.62,40,40,4
2021-04-02,NEG_12_16,126.67,17,17,4
2021-04-03,NEG_12_16,69.0,12,12,4
2021-04-04,NEG_12_16,87.75,14,14,4
2021-04-05,NEG_12_16,228.1,14,14,4
2021-04-06,NEG_12_16,98.64,13,13,4
2021-04-07,NEG_12_16,66.23,20,20,4
2021-04-08,NEG_12_16,30.68,30,30,4
2021-04-09,NEG_12_16,34.01,50,50,4
2021-04-10,NEG_12_16,18.6,23,23,4
2021-04-11,NEG_12_16,50.03,13,13,4
2021-04-12,NEG_12_16,28.26,100,79,4
2021-04-13,NEG_12_16,42.36,35,35,4
2021-04-14,NEG_12_16,23.63,50,50,4
2021-04-15,NEG_12_16,21.0,100,100,4
2021-04-16,NEG_12_16,70.01,100,100,4
2021-04-17,NEG_12_16,60.0,100,30,4
2021-04-18,NEG_12_16,55.24,100,100,4
2021-04-19,NEG_12_16,32.87,100,100,4
2021-04-20,NEG_12_16,28.8,100,100,4
2021-04-21,NEG_12_16,28.67,100,100,4
2021-04-22,NEG_12_16,341.66,13,13,4
2021-04-23,NEG_12_16,112.2,24,24,4
2021-04-24,NEG_12_16,90.0,13,13,4
2021-04-25,NEG_12_16,226.67,13,13,4
2021-04-26,NEG_12_16,88.87,100,100,4
2021-04-27,NEG_12_16,70.0,100,24,4
2021-04-28,NEG_12_16,52.01,100,100,4
2021-04-29,NEG_12_16,41.0,20,20,4
2021-04-30,NEG_12_16,37.28,100,100,4
2021-05-01,NEG_12_16,789.09,50,48,5
2021-05-02,NEG_12_16,324.45,20,20,5
2021-05-03,NEG_12_16,4714.26,40,40,5
2021-05-04,NEG_12_16,845.0,50,31,5
2021-05-05,NEG_12_16,456.0,20,20,5
2021-05-06,NEG_12_16,291.2,20,20,5
2021-05-07,NEG_12_16,184.5,20,20,5
2021-05-08,NEG_12_16,170.24,20,17,5
2021-05-09,NEG_12_16,911.16,50,50,5
2021-05-10,NEG_12_16,431.12,20,20,5
2021-05-11,NEG_12_16,220.6,20,20,5
2021-05-12,NEG_12_16,128.0,20,20,5
2021-05-13,NEG_12_16,128.0,20,20,5
2021-05-14,NEG_12_16,95.0,20,20,5
2021-05-15,NEG_12_16,77.5,13,13,5
2021-05-16,NEG_12_16,192.22,13,13,5
2021-05-17,NEG_12_16,98.0,20,20,5
2021-05-18,NEG_12_16,74.96,20,20,5
2021-05-19,NEG_12_16,53.13,20,20,5
2021-05-20,NEG_12_16,46.25,11,11,5
2021-05-21,NEG_12_16,250.0,11,11,5
2021-05-22,NEG_12_16,683.08,20,20,5
2021-05-23,NEG_12_16,671.67,20,20,5
2021-05-24,NEG_12_16,556.5,20,20,5
2021-05-25,NEG_12_16,395.12,20,20,5
2021-05-26,NEG_12_16,202.51,20,20,5
2021-05-27,NEG_12_16,159.59,40,32,5
2021-05-28,NEG_12_16,102.35,40,40,5
2021-05-29,NEG_12_16,128.48,20,20,5
2021-05-30,NEG_12_16,234.64,40,40,5
2021-05-31,NEG_12_16,112.78,40,40,5
2021-06-01,NEG_12_16,77.28,11,11,6
2021-06-02,NEG_12_16,60.4,12,12,6
