date,product,capacity_price,offered_capacity,allocated_capacity,month
2020-11-01,POS_04_08,6.45,29,29,11
2020-11-02,POS_04_08,6.56,29,29,11
2020-11-03,POS_04_08,1103.5,32,32,11
2020-11-04,POS_04_08,160.52,32,32,11
2020-11-05,POS_04_08,68.1,32,32,11
2020-11-06,POS_04_08,48.36,29,29,11
2020-11-07,POS_04_08,30.85,30,30,11
2020-11-08,POS_04_08,21.5,29,29,11
2020-11-09,POS_04_08,35.72,32,32,11
2020-11-10,POS_04_08,29.12,32,32,11
2020-11-11,POS_04_08,24.75,29,29,11
2020-11-12,POS_04_08,20.0,29,29,11
2020-11-13,POS_04_08,17.2,30,30,11
2020-11-14,POS_04_08,13.2,29,29,11
2020-11-15,POS_04_08,37.78,29,29,11
2020-11-16,POS_04_08,29.0,29,29,11
2020-11-17,POS_04_08,25.92,32,32,11
2020-11-18,POS_04_08,21.11,29,29,11
2020-11-19,POS_04_08,24.0,29,29,11
2020-11-20,POS_04_08,20.79,32,32,11
2020-11-21,POS_04_08,14.67,29,29,11
2020-11-22,POS_04_08,26.67,20,20,11
2020-11-23,POS_04_08,23.3,32,32,11
2020-11-24,POS_04_08,20.02,32,32,11
2020-11-25,POS_04_08,18.0,30,30,11
2020-11-26,POS_04_08,23.89,30,30,11
2020-11-27,POS_04_08,32.0,29,29,11
2020-11-28,POS_04_08,17.6,20,20,11
2020-11-29,POS_04_08,13.18,29,29,11
2020-11-30,POS_04_08,38.0,29,29,11
2020-12-01,POS_04_08,23.74,28,28,12
2020-12-02,POS_04_08,30.03,24,24,12
2020-12-03,POS_04_08,22.56,30,30,12
2020-12-04,POS_04_08,16.92,29,29,12
2020-12-05,POS_04_08,12.5,29,29,12
2020-12-06,POS_04_08,10.0,34,34,12
2020-12-07,POS_04_08,16.25,33,33,12
2020-12-08,POS_04_08,28.0,24,24,12
2020-12-09,POS_04_08,30.0,30,30,12
2020-12-10,POS_04_08,27.88,30,30,12
2020-12-11,POS_04_08,20.57,30,30,12
2020-12-12,POS_04_08,14.1,29,29,12
2020-12-13,POS_04_08,9.88,29,29,12
2020-12-14,POS_04_08,13.64,29,29,12
2020-12-15,POS_04_08,25.76,32,32,12
2020-12-16,POS_04_08,21.48,29,29,12
2020-12-17,POS_04_08,17.16,30,30,12
2020-12-18,POS_04_08,14.96,29,29,12
2020-12-19,POS_04_08,12.0,28,28,12
2020-12-20,POS_04_08,11.23,29,29,12
2020-12-21,POS_04_08,14.75,29,29,12
2020-12-22,POS_04_08,9.52,29,29,12
2020-12-23,POS_04_08,11.8,29,29,12
2020-12-24,POS_04_08,9.45,29,29,12
2020-12-25,POS_04_08,7.64,29,29,12
2020-12-26,POS_04_08,7.3,29,29,12
2020-12-27,POS_04_08,32.23,29,29,12
2020-12-28,POS_04_08,12.65,29,29,12
2020-12-29,POS_04_08,10.04,29,29,12
2020-12-30,POS_04_08,8.64,29,29,12
2020-12-31,POS_04_08,9.08,29,29,12
2021-01-01,POS_04_08,9.0,29,29,1
2021-01-02,POS_04_08,7.82,29,29,1
2021-01-03,POS_04_08,6.76,29,29,1
2021-01-04,POS_04_08,7.64,23,23,1
2021-01-05,POS_04_08,7.42,29,29,1
2021-01-06,POS_04_08,6.2,29,29,1
2021-01-07,POS_04_08,6.92,29,29,1
2021-01-08,POS_04_08,7.08,29,29,1
2021-01-09,POS_04_08,6.28,23,23,1
2021-01-10,POS_04_08,5.19,29,29,1
2021-01-11,POS_04_08,6.05,24,24,1
2021-01-12,POS_04_08,6.5,24,24,1
2021-01-13,POS_04_08,6.0,29,29,1
2021-01-14,POS_04_08,5.96,29,29,1
2021-01-15,POS_04_08,6.89,38,38,1
2021-01-16,POS_04_08,5.82,29,29,1
2021-01-17,POS_04_08,5.36,29,29,1
2021-01-18,POS_04_08,5.41,29,29,1
2021-01-19,POS_04_08,5.24,29,29,1
2021-01-20,POS_04_08,5.28,29,29,1
2021-01-21,POS_04_08,5.42,50,50,1
2021-01-22,POS_04_08,5.64,50,50,1
2021-01-23,POS_04_08,4.58,20,20,1
2021-01-24,POS_04_08,3.96,29,29,1
2021-01-25,POS_04_08,5.38,29,29,1
2021-01-26,POS_04_08,5.36,29,29,1
2021-01-27,POS_04_08,5.14,29,29,1
2021-01-28,POS_04_08,4.8,29,29,1
2021-01-29,POS_04_08,4.19,29,29,1
2021-01-30,POS_04_08,3.83,29,29,1
2021-01-31,POS_04_08,3.57,29,29,1
2021-02-01,POS_04_08,615.06,29,29,2
2021-02-02,POS_04_08,108.94,32,32,2
2021-02-03,POS_04_08,59.13,32,32,2
2021-02-04,POS_04_08,38.0,29,29,2
2021-02-05,POS_04_08,30.2,29,29,2
2021-02-06,POS_04_08,18.72,29,29,2
2021-02-07,POS_04_08,12.23,29,29,2
2021-02-08,POS_04_08,6350.0,29,29,2
2021-02-09,POS_04_08,244.52,29,29,2
2021-02-10,POS_04_08,108.95,29,29,2
2021-02-11,POS_04_08,68.76,20,20,2
2021-02-12,POS_04_08,59.0,32,32,2
2021-02-13,POS_04_08,35.9,29,29,2
2021-02-14,POS_04_08,25.0,32,32,2
2021-02-15,POS_04_08,435.0,32,32,2
2021-02-16,POS_04_08,79.4,32,32,2
2021-02-17,POS_04_08,53.55,32,32,2
2021-02-18,POS_04_08,43.13,29,29,2
2021-02-19,POS_04_08,31.85,29,29,2
2021-02-20,POS_04_08,20.77,29,29,2
2021-02-21,POS_04_08,15.0,20,20,2
2021-02-22,POS_04_08,292.0,32,32,2
