date,product,capacity_price,offered_capacity,allocated_capacity,month
2020-11-01,NEG_08_12,33.89,40,40,11
2020-11-02,NEG_08_12,16.16,100,100,11
2020-11-03,NEG_08_12,100.0,80,80,11
2020-11-04,NEG_08_12,70.0,80,80,11
2020-11-05,NEG_08_12,33.11,20,20,11
2020-11-06,NEG_08_12,20.9,80,45,11
2020-11-07,NEG_08_12,14.12,100,100,11
2020-11-08,NEG_08_12,10.7,20,20,11
2020-11-09,NEG_08_12,9.44,80,80,11
2020-11-10,NEG_08_12,6.5,80,80,11
2020-11-11,NEG_08_12,4.94,80,80,11
2020-11-12,NEG_08_12,5.5,79,79,11
2020-11-13,NEG_08_12,4.72,79,79,11
2020-11-14,NEG_08_12,7.33,30,30,11
2020-11-15,NEG_08_12,52.0,20,20,11
2020-11-16,NEG_08_12,48.42,20,20,11
2020-11-17,NEG_08_12,23.33,26,26,11
2020-11-18,NEG_08_12,10.76,79,79,11
2020-11-19,NEG_08_12,17.0,20,20,11
2020-11-20,NEG_08_12,9.0,80,80,11
2020-11-21,NEG_08_12,11.53,80,52,11
2020-11-22,NEG_08_12,40.0,20,20,11
2020-11-23,NEG_08_12,14.4,50,50,11
2020-11-24,NEG_08_12,8.07,50,50,11
2020-11-25,NEG_08_12,5.79,50,50,11
2020-11-26,NEG_08_12,4.36,50,50,11
2020-11-27,NEG_08_12,3.35,100,100,11
2020-11-28,NEG_08_12,7.3,100,87,11
2020-11-29,NEG_08_12,7.25,100,100,11
2020-11-30,NEG_08_12,4.4,30,30,11
2020-12-01,NEG_08_12,5.5,30,30,12
2020-12-02,NEG_08_12,4.0,80,80,12
2020-12-03,NEG_08_12,4.5,100,100,12
2020-12-04,NEG_08_12,5.0,80,80,12
2020-12-05,NEG_08_12,4.38,29,29,12
2020-12-06,NEG_08_12,3.8,50,50,12
2020-12-07,NEG_08_12,3.17,35,35,12
2020-12-08,NEG_08_12,2.84,40,40,12
2020-12-09,NEG_08_12,2.94,50,50,12
2020-12-10,NEG_08_12,3.0,50,50,12
2020-12-11,NEG_08_12,4.8,24,24,12
2020-12-12,NEG_08_12,5.0,80,80,12
2020-12-13,NEG_08_12,3.66,30,30,12
2020-12-14,NEG_08_12,4.1,80,80,12
2020-12-15,NEG_08_12,3.42,80,40,12
2020-12-16,NEG_08_12,2.89,50,50,12
2020-12-17,NEG_08_12,2.8,80,80,12
2020-12-18,NEG_08_12,3.0,40,40,12
2020-12-19,NEG_08_12,6.0,30,30,12
2020-12-20,NEG_08_12,4.9,30,30,12
2020-12-21,NEG_08_12,5.8,24,24,12
2020-12-22,NEG_08_12,17.0,100,100,12
2020-12-23,NEG_08_12,5.45,100,100,12
2020-12-24,NEG_08_12,12.36,30,30,12
2020-12-25,NEG_08_12,9.75,30,30,12
2020-12-26,NEG_08_12,13.68,30,30,12
2020-12-27,NEG_08_12,130.0,30,30,12
2020-12-28,NEG_08_12,30.82,30,30,12
