date,product,capacity_price,offered_capacity,allocated_capacity,month
2020-11-01,NEG_20_24,33.33,30,30,11
2020-11-02,NEG_20_24,13.85,100,97,11
2020-11-03,NEG_20_24,118.0,80,80,11
2020-11-04,NEG_20_24,58.82,80,80,11
2020-11-05,NEG_20_24,32.0,30,30,11
2020-11-06,NEG_20_24,19.0,80,80,11
2020-11-07,NEG_20_24,13.95,40,40,11
2020-11-08,NEG_20_24,10.7,30,30,11
2020-11-09,NEG_20_24,9.55,80,80,11
2020-11-10,NEG_20_24,6.67,80,80,11
2020-11-11,NEG_20_24,5.0,30,30,11
2020-11-12,NEG_20_24,4.55,79,79,11
2020-11-13,NEG_20_24,3.7,79,79,11
2020-11-14,NEG_20_24,15.0,79,79,11
2020-11-15,NEG_20_24,41.0,30,30,11
2020-11-16,NEG_20_24,21.56,20,20,11
2020-11-17,NEG_20_24,16.6,79,79,11
2020-11-18,NEG_20_24,18.5,79,79,11
2020-11-19,NEG_20_24,14.41,20,20,11
2020-11-20,NEG_20_24,10.0,80,80,11
2020-11-21,NEG_20_24,15.45,30,30,11
2020-11-22,NEG_20_24,13.92,30,30,11
2020-11-23,NEG_20_24,10.04,30,30,11
2020-11-24,NEG_20_24,7.5,80,80,11
2020-11-25,NEG_20_24,5.12,35,35,11
2020-11-26,NEG_20_24,4.29,80,80,11
2020-11-27,NEG_20_24,4.5,100,100,11
2020-11-28,NEG_20_24,5.81,24,24,11
2020-11-29,NEG_20_24,5.22,100,100,11
2020-11-30,NEG_20_24,6.83,30,30,11
2020-12-01,NEG_20_24,4.33,24,24,12
2020-12-02,NEG_20_24,3.67,80,80,12
2020-12-03,NEG_20_24,7.0,100,100,12
2020-12-04,NEG_20_24,4.27,30,30,12
2020-12-05,NEG_20_24,3.8,29,29,12
2020-12-06,NEG_20_24,3.04,33,33,12
2020-12-07,NEG_20_24,3.0,33,33,12
2020-12-08,NEG_20_24,3.0,80,80,12
2020-12-09,NEG_20_24,7.8,24,24,12
2020-12-10,NEG_20_24,6.55,20,20,12
2020-12-11,NEG_20_24,9.75,24,24,12
2020-12-12,NEG_20_24,5.85,80,80,12
2020-12-13,NEG_20_24,4.5,30,30,12
2020-12-14,NEG_20_24,3.57,40,40,12
2020-12-15,NEG_20_24,3.0,19,19,12
2020-12-16,NEG_20_24,2.66,19,19,12
2020-12-17,NEG_20_24,2.4,80,57,12
2020-12-18,NEG_20_24,4.0,40,40,12
