date,product,capacity_price,offered_capacity,allocated_capacity,month
2020-11-01,POS_08_12,10.96,29,29,11
2020-11-02,POS_08_12,14.54,29,29,11
2020-11-03,POS_08_12,189.84,32,32,11
2020-11-04,POS_08_12,84.03,32,32,11
2020-11-05,POS_08_12,55.0,32,32,11
2020-11-06,POS_08_12,43.92,29,29,11
2020-11-07,POS_08_12,28.93,30,30,11
2020-11-08,POS_08_12,20.7,32,32,11
2020-11-09,POS_08_12,38.0,32,32,11
2020-11-10,POS_08_12,36.28,32,32,11
2020-11-11,POS_08_12,36.7,29,29,11
2020-11-12,POS_08_12,31.29,32,32,11
2020-11-13,POS_08_12,26.41,30,30,11
2020-11-14,POS_08_12,19.5,29,29,11
2020-11-15,POS_08_12,45.0,29,29,11
2020-11-16,POS_08_12,34.0,32,32,11
2020-11-17,POS_08_12,30.52,32,32,11
2020-11-18,POS_08_12,26.0,32,32,11
2020-11-19,POS_08_12,26.86,32,32,11
2020-11-20,POS_08_12,29.43,32,32,11
2020-11-21,POS_08_12,19.2,29,29,11
2020-11-22,POS_08_12,17.65,20,20,11
2020-11-23,POS_08_12,36.33,32,32,11
2020-11-24,POS_08_12,33.44,30,30,11
2020-11-25,POS_08_12,31.62,29,29,11
2020-11-26,POS_08_12,47.6,29,29,11
2020-11-27,POS_08_12,83.28,29,29,11
2020-11-28,POS_08_12,32.72,24,24,11
2020-11-29,POS_08_12,20.82,29,29,11
2020-11-30,POS_08_12,95.71,29,29,11
2020-12-01,POS_08_12,60.0,27,27,12
2020-12-02,POS_08_12,114.36,20,20,12
2020-12-03,POS_08_12,58.3,29,29,12
2020-12-04,POS_08_12,38.2,32,32,12
2020-12-05,POS_08_12,25.2,29,29,12
2020-12-06,POS_08_12,19.19,34,34,12
2020-12-07,POS_08_12,33.53,33,33,12
2020-12-08,POS_08_12,72.0,29,29,12
2020-12-09,POS_08_12,102.46,34,34,12
2020-12-10,POS_08_12,94.0,30,30,12
2020-12-11,POS_08_12,51.08,29,29,12
2020-12-12,POS_08_12,26.12,29,29,12
2020-12-13,POS_08_12,18.76,24,24,12
2020-12-14,POS_08_12,30.19,32,32,12
2020-12-15,POS_08_12,35.88,32,32,12
2020-12-16,POS_08_12,44.09,32,32,12
2020-12-17,POS_08_12,36.02,32,32,12
2020-12-18,POS_08_12,30.48,32,32,12
2020-12-19,POS_08_12,21.1,35,35,12
2020-12-20,POS_08_12,16.4,29,29,12
2020-12-21,POS_08_12,29.17,29,29,12
2020-12-22,POS_08_12,20.78,32,32,12
2020-12-23,POS_08_12,26.8,29,29,12
2020-12-24,POS_08_12,18.96,29,29,12
2020-12-25,POS_08_12,15.23,23,23,12
2020-12-26,POS_08_12,12.12,29,29,12
2020-12-27,POS_08_12,42.62,29,29,12
2020-12-28,POS_08_12,27.2,29,29,12
2020-12-29,POS_08_12,21.28,23,23,12
2020-12-30,POS_08_12,16.0,29,29,12
2020-12-31,POS_08_12,15.32,29,29,12
2021-01-01,POS_08_12,13.64,36,36,1
2021-01-02,POS_08_12,13.56,29,29,1
2021-01-03,POS_08_12,10.44,29,29,1
2021-01-04,POS_08_12,18.27,20,20,1
2021-01-05,POS_08_12,17.18,22,22,1
2021-01-06,POS_08_12,14.72,29,29,1
2021-01-07,POS_08_12,28.08,32,32,1
2021-01-08,POS_08_12,36.4,29,29,1
2021-01-09,POS_08_12,17.4,20,20,1
2021-01-10,POS_08_12,13.68,29,29,1
2021-01-11,POS_08_12,17.04,29,29,1
2021-01-12,POS_08_12,18.8,29,29,1
2021-01-13,POS_08_12,18.0,29,29,1
2021-01-14,POS_08_12,33.0,29,29,1
2021-01-15,POS_08_12,39.72,36,36,1
2021-01-16,POS_08_12,18.86,22,22,1
2021-01-17,POS_08_12,15.31,29,29,1
2021-01-18,POS_08_12,21.23,29,29,1
2021-01-19,POS_08_12,18.56,29,29,1
2021-01-20,POS_08_12,16.7,26,26,1
2021-01-21,POS_08_12,15.41,50,50,1
2021-01-22,POS_08_12,15.0,26,26,1
2021-01-23,POS_08_12,14.2,29,29,1
2021-01-24,POS_08_12,12.09,29,29,1
2021-01-25,POS_08_12,32.74,29,29,1
2021-01-26,POS_08_12,29.96,29,29,1
2021-01-27,POS_08_12,29.82,29,29,1
2021-01-28,POS_08_12,30.74,32,32,1
2021-01-29,POS_08_12,24.29,29,29,1
2021-01-30,POS_08_12,17.74,29,29,1
2021-01-31,POS_08_12,13.25,29,29,1
2021-02-01,POS_08_12,28.45,32,32,2
2021-02-02,POS_08_12,50.85,32,32,2
2021-02-03,POS_08_12,43.48,32,32,2
2021-02-04,POS_08_12,33.25,29,29,2
2021-02-05,POS_08_12,32.13,29,29,2
2021-02-06,POS_08_12,21.45,29,29,2
2021-02-07,POS_08_12,14.88,29,29,2
2021-02-08,POS_08_12,40.4,29,29,2
2021-02-09,POS_08_12,126.0,32,32,2
2021-02-10,POS_08_12,81.24,32,32,2
2021-02-11,POS_08_12,76.94,25,25,2
2021-02-12,POS_08_12,73.45,32,32,2
2021-02-13,POS_08_12,42.8,27,27,2
2021-02-14,POS_08_12,25.5,29,29,2
2021-02-15,POS_08_12,41.0,32,32,2
2021-02-16,POS_08_12,51.08,29,29,2
2021-02-17,POS_08_12,39.45,32,32,2
2021-02-18,POS_08_12,42.64,32,32,2
2021-02-19,POS_08_12,36.0,32,32,2
2021-02-20,POS_08_12,23.01,29,29,2
2021-02-21,POS_08_12,16.92,23,23,2
2021-02-22,POS_08_12,93.36,35,35,2
2021-02-23,POS_08_12,50.75,32,32,2
2021-02-24,POS_08_12,37.02,32,32,2
2021-02-25,POS_08_12,34.9,29,29,2
2021-02-26,POS_08_12,31.5,29,29,2
2021-02-27,POS_08_12,20.64,24,24,2
2021-02-28,POS_08_12,15.97,32,32,2
