date,product,capacity_price,offered_capacity,allocated_capacity,month
2020-11-01,NEG_16_20,16.22,40,40,11
2020-11-02,NEG_16_20,22.84,100,100,11
2020-11-03,NEG_16_20,130.0,80,80,11
2020-11-04,NEG_16_20,76.28,80,80,11
2020-11-05,NEG_16_20,35.33,50,50,11
2020-11-06,NEG_16_20,20.62,22,22,11
2020-11-07,NEG_16_20,13.67,100,100,11
2020-11-08,NEG_16_20,10.3,20,20,11
2020-11-09,NEG_16_20,9.99,80,80,11
2020-11-10,NEG_16_20,7.0,80,80,11
2020-11-11,NEG_16_20,5.11,80,80,11
2020-11-12,NEG_16_20,6.0,79,79,11
2020-11-13,NEG_16_20,4.61,79,79,11
2020-11-14,NEG_16_20,6.06,30,30,11
2020-11-15,NEG_16_20,29.0,20,20,11
2020-11-16,NEG_16_20,226.32,15,15,11
2020-11-17,NEG_16_20,60.86,79,59,11
2020-11-18,NEG_16_20,24.56,20,20,11
2020-11-19,NEG_16_20,21.5,20,20,11
2020-11-20,NEG_16_20,13.22,80,80,11
2020-11-21,NEG_16_20,12.5,30,30,11
2020-11-22,NEG_16_20,13.0,20,20,11
2020-11-23,NEG_16_20,13.33,50,50,11
2020-11-24,NEG_16_20,8.93,80,80,11
2020-11-25,NEG_16_20,6.1,50,50,11
2020-11-26,NEG_16_20,4.68,50,33,11
2020-11-27,NEG_16_20,3.5,100,100,11
2020-11-28,NEG_16_20,5.84,50,50,11
2020-11-29,NEG_16_20,5.15,100,100,11
2020-11-30,NEG_16_20,4.45,30,30,11
2020-12-01,NEG_16_20,3.77,30,30,12
2020-12-02,NEG_16_20,3.4,80,80,12
2020-12-03,NEG_16_20,3.91,100,100,12
2020-12-04,NEG_16_20,4.35,80,67,12
2020-12-05,NEG_16_20,3.8,50,50,12
2020-12-06,NEG_16_20,3.12,50,50,12
2020-12-07,NEG_16_20,3.0,33,33,12
2020-12-08,NEG_16_20,2.31,24,24,12
2020-12-09,NEG_16_20,2.63,50,50,12
2020-12-10,NEG_16_20,2.5,50,50,12
2020-12-11,NEG_16_20,5.0,24,24,12
2020-12-12,NEG_16_20,4.25,80,80,12
2020-12-13,NEG_16_20,3.19,30,30,12
2020-12-14,NEG_16_20,3.93,80,80,12
2020-12-15,NEG_16_20,3.19,24,24,12
2020-12-16,NEG_16_20,3.0,80,80,12
2020-12-17,NEG_16_20,3.0,80,80,12
2020-12-18,NEG_16_20,4.1,40,40,12
2020-12-19,NEG_16_20,4.8,30,30,12
2020-12-20,NEG_16_20,3.86,30,30,12
2020-12-21,NEG_16_20,5.75,24,24,12
2020-12-22,NEG_16_20,5.14,100,100,12
2020-12-23,NEG_16_20,3.97,100,100,12
2020-12-24,NEG_16_20,6.14,30,30,12
2020-12-25,NEG_16_20,5.0,30,30,12
2020-12-26,NEG_16_20,34.38,30,30,12
2020-12-27,NEG_16_20,47.56,21,21,12
2020-12-28,NEG_16_20,17.73,30,30,12
