date,product,capacity_price,offered_capacity,allocated_capacity,month
2020-11-01,POS_00_04,7.08,54,54,11
2020-11-02,POS_00_04,0.0,29,29,11
2020-11-03,POS_00_04,838.0,32,32,11
2020-11-04,POS_00_04,79.0,32,32,11
2020-11-05,POS_00_04,42.68,29,29,11
2020-11-06,POS_00_04,31.16,30,30,11
2020-11-07,POS_00_04,19.05,30,30,11
2020-11-08,POS_00_04,14.0,30,30,11
2020-11-09,POS_00_04,16.88,30,30,11
2020-11-10,POS_00_04,13.76,30,30,11
2020-11-11,POS_00_04,11.6,30,30,11
2020-11-12,POS_00_04,9.29,30,30,11
2020-11-13,POS_00_04,7.5,40,40,11
2020-11-14,POS_00_04,5.75,30,30,11
2020-11-15,POS_00_04,25.0,30,30,11
2020-11-16,POS_00_04,18.43,30,30,11
2020-11-17,POS_00_04,17.67,30,30,11
2020-11-18,POS_00_04,12.97,30,30,11
2020-11-19,POS_00_04,22.78,30,30,11
2020-11-20,POS_00_04,14.94,30,30,11
2020-11-21,POS_00_04,9.5,30,30,11
2020-11-22,POS_00_04,22.58,30,30,11
2020-11-23,POS_00_04,13.5,40,40,11
2020-11-24,POS_00_04,12.2,40,40,11
2020-11-25,POS_00_04,10.0,40,40,11
2020-11-26,POS_00_04,8.45,37,37,11
2020-11-27,POS_00_04,18.0,30,30,11
2020-11-28,POS_00_04,12.0,32,32,11
2020-11-29,POS_00_04,9.04,30,30,11
2020-11-30,POS_00_04,18.25,30,30,11
2020-12-01,POS_00_04,9.9,30,30,12
2020-12-02,POS_00_04,11.3,30,30,12
2020-12-03,POS_00_04,8.84,30,30,12
2020-12-04,POS_00_04,7.32,30,30,12
2020-12-05,POS_00_04,6.64,30,30,12
2020-12-06,POS_00_04,7.4,34,34,12
2020-12-07,POS_00_04,8.5,33,33,12
2020-12-08,POS_00_04,8.5,30,30,12
2020-12-09,POS_00_04,8.7,30,30,12
2020-12-10,POS_00_04,9.0,30,30,12
2020-12-11,POS_00_04,7.87,30,30,12
2020-12-12,POS_00_04,6.61,29,29,12
2020-12-13,POS_00_04,5.76,29,29,12
2020-12-14,POS_00_04,5.7,29,29,12
2020-12-15,POS_00_04,7.08,29,29,12
2020-12-16,POS_00_04,6.5,29,29,12
2020-12-17,POS_00_04,6.42,29,29,12
2020-12-18,POS_00_04,6.08,29,29,12
2020-12-19,POS_00_04,6.0,29,29,12
