date,capacity_price
2020-11-01 00:00:00,33.89
2020-11-02 00:00:00,16.16
2020-11-03 00:00:00,100.0
2020-11-04 00:00:00,70.0
2020-11-05 00:00:00,33.11
2020-11-06 00:00:00,20.9
2020-11-07 00:00:00,14.12
2020-11-08 00:00:00,10.7
2020-11-09 00:00:00,9.44
2020-11-10 00:00:00,6.5
2020-11-11 00:00:00,4.94
2020-11-12 00:00:00,5.5
2020-11-13 00:00:00,4.72
2020-11-14 00:00:00,7.33
2020-11-15 00:00:00,52.0
2020-11-16 00:00:00,48.42
2020-11-17 00:00:00,23.33
2020-11-18 00:00:00,10.76
2020-11-19 00:00:00,17.0
2020-11-20 00:00:00,9.0
2020-11-21 00:00:00,11.53
2020-11-22 00:00:00,40.0
2020-11-23 00:00:00,14.4
2020-11-24 00:00:00,8.07
2020-11-25 00:00:00,5.79
2020-11-26 00:00:00,4.36
2020-11-27 00:00:00,3.35
2020-11-28 00:00:00,7.3
2020-11-29 00:00:00,7.25
2020-11-30 00:00:00,4.4
2020-12-01 00:00:00,5.5
2020-12-02 00:00:00,4.0
2020-12-03 00:00:00,4.5
2020-12-04 00:00:00,5.0
2020-12-05 00:00:00,4.38
2020-12-06 00:00:00,3.8
2020-12-07 00:00:00,3.17
2020-12-08 00:00:00,2.84
2020-12-09 00:00:00,2.94
2020-12-10 00:00:00,3.0
2020-12-11 00:00:00,4.8
2020-12-12 00:00:00,5.0
2020-12-13 00:00:00,3.66
2020-12-14 00:00:00,4.1
2020-12-15 00:00:00,3.42
2020-12-16 00:00:00,2.89
2020-12-17 00:00:00,2.8
2020-12-18 00:00:00,3.0
2020-12-19 00:00:00,6.0
2020-12-20 00:00:00,4.9
2020-12-21 00:00:00,5.8
2020-12-22 00:00:00,17.0
2020-12-23 00:00:00,5.45
2020-12-24 00:00:00,12.36
2020-12-25 00:00:00,9.75
2020-12-26 00:00:00,13.68
2020-12-27 00:00:00,130.0
2020-12-28 00:00:00,30.82
2020-12-29 00:00:00,9.2
2020-12-30 00:00:00,7.6
2020-12-31 00:00:00,6.45
2021-01-01 00:00:00,6.0
2021-01-02 00:00:00,4.76
2021-01-03 00:00:00,5.8
2021-01-04 00:00:00,4.77
2021-01-05 00:00:00,3.93
2021-01-06 00:00:00,3.5
2021-01-07 00:00:00,3.0
2021-01-08 00:00:00,2.58
2021-01-09 00:00:00,2.95
2021-01-10 00:00:00,2.49
2021-01-11 00:00:00,2.1
2021-01-12 00:00:00,2.21
2021-01-13 00:00:00,2.6
2021-01-14 00:00:00,2.0
2021-01-15 00:00:00,1.8
2021-01-16 00:00:00,1.75
2021-01-17 00:00:00,1.58
2021-01-18 00:00:00,1.52
2021-01-19 00:00:00,1.5
2021-01-20 00:00:00,2.02
2021-01-21 00:00:00,6.35
2021-01-22 00:00:00,3.03
2021-01-23 00:00:00,1.9
2021-01-24 00:00:00,1.49
2021-01-25 00:00:00,1.36
2021-01-26 00:00:00,1.98
2021-01-27 00:00:00,1.48
2021-01-28 00:00:00,1.25
2021-01-29 00:00:00,1.21
2021-01-30 00:00:00,1.35
2021-01-31 00:00:00,1.29
2021-02-01 00:00:00,1.3
2021-02-02 00:00:00,1.2
2021-02-03 00:00:00,4.71
2021-02-04 00:00:00,3.91
2021-02-05 00:00:00,4.8
2021-02-06 00:00:00,7.75
2021-02-07 00:00:00,30.2
2021-02-08 00:00:00,13.74
2021-02-09 00:00:00,7.07
2021-02-10 00:00:00,5.0
2021-02-11 00:00:00,3.75
2021-02-12 00:00:00,3.28
2021-02-13 00:00:00,3.36
2021-02-14 00:00:00,4.02
2021-02-15 00:00:00,3.67
2021-02-16 00:00:00,3.0
2021-02-17 00:00:00,6.8
2021-02-18 00:00:00,5.0
2021-02-19 00:00:00,4.45
2021-02-20 00:00:00,6.0
2021-02-21 00:00:00,20.52
2021-02-22 00:00:00,9.38
2021-02-23 00:00:00,6.75
2021-02-24 00:00:00,9.44
2021-02-25 00:00:00,6.61
2021-02-26 00:00:00,5.0
2021-02-27 00:00:00,4.44
2021-02-28 00:00:00,10.0
2021-03-01 00:00:00,6.91
2021-03-02 00:00:00,5.2
2021-03-03 00:00:00,3.9
2021-03-04 00:00:00,3.29
2021-03-05 00:00:00,3.23
2021-03-06 00:00:00,5.4
2021-03-07 00:00:00,9.52
2021-03-08 00:00:00,5.6
2021-03-09 00:00:00,3.69
2021-03-10 00:00:00,2.99
2021-03-11 00:00:00,19.52
2021-03-12 00:00:00,28.0
2021-03-13 00:00:00,64.5
2021-03-14 00:00:00,68.4
2021-03-15 00:00:00,21.3
2021-03-16 00:00:00,11.01
2021-03-17 00:00:00,6.7
2021-03-18 00:00:00,4.77
2021-03-19 00:00:00,3.74
2021-03-20 00:00:00,3.89
2021-03-21 00:00:00,51.7
2021-03-22 00:00:00,17.0
2021-03-23 00:00:00,9.4
2021-03-24 00:00:00,5.72
2021-03-25 00:00:00,3.9
2021-03-26 00:00:00,5.0
