date,capacity_price
2020-11-01 00:00:00,4.2
2020-11-02 00:00:00,3.6
2020-11-03 00:00:00,116.28
2020-11-04 00:00:00,60.0
2020-11-05 00:00:00,37.0
2020-11-06 00:00:00,26.02
2020-11-07 00:00:00,17.73
2020-11-08 00:00:00,12.9
2020-11-09 00:00:00,22.44
2020-11-10 00:00:00,21.36
2020-11-11 00:00:00,17.96
2020-11-12 00:00:00,14.44
2020-11-13 00:00:00,11.55
2020-11-14 00:00:00,7.96
2020-11-15 00:00:00,35.0
2020-11-16 00:00:00,26.43
2020-11-17 00:00:00,22.5
2020-11-18 00:00:00,17.16
2020-11-19 00:00:00,16.84
2020-11-20 00:00:00,15.1
2020-11-21 00:00:00,9.71
2020-11-22 00:00:00,13.06
2020-11-23 00:00:00,22.0
2020-11-24 00:00:00,17.67
2020-11-25 00:00:00,15.08
2020-11-26 00:00:00,26.5
2020-11-27 00:00:00,34.0
2020-11-28 00:00:00,16.4
2020-11-29 00:00:00,11.0
2020-11-30 00:00:00,23.34
2020-12-01 00:00:00,27.42
2020-12-02 00:00:00,79.85
2020-12-03 00:00:00,27.12
2020-12-04 00:00:00,19.5
2020-12-05 00:00:00,14.13
2020-12-06 00:00:00,11.42
2020-12-07 00:00:00,15.36
2020-12-08 00:00:00,54.5
2020-12-09 00:00:00,83.64
2020-12-10 00:00:00,73.64
2020-12-11 00:00:00,33.13
2020-12-12 00:00:00,17.73
2020-12-13 00:00:00,11.09
2020-12-14 00:00:00,17.76
2020-12-15 00:00:00,21.82
2020-12-16 00:00:00,18.82
2020-12-17 00:00:00,16.5
2020-12-18 00:00:00,14.52
2020-12-19 00:00:00,12.7
2020-12-20 00:00:00,11.34
2020-12-21 00:00:00,13.0
2020-12-22 00:00:00,10.88
2020-12-23 00:00:00,13.01
2020-12-24 00:00:00,9.68
2020-12-25 00:00:00,8.25
2020-12-26 00:00:00,6.85
2020-12-27 00:00:00,50.03
2020-12-28 00:00:00,16.44
2020-12-29 00:00:00,11.24
2020-12-30 00:00:00,9.2
2020-12-31 00:00:00,15.88
2021-01-01 00:00:00,13.45
2021-01-02 00:00:00,12.23
2021-01-03 00:00:00,9.71
2021-01-04 00:00:00,13.11
2021-01-05 00:00:00,12.42
2021-01-06 00:00:00,10.9
2021-01-07 00:00:00,18.68
2021-01-08 00:00:00,26.16
2021-01-09 00:00:00,11.8
2021-01-10 00:00:00,9.71
2021-01-11 00:00:00,10.5
2021-01-12 00:00:00,10.43
2021-01-13 00:00:00,9.6
2021-01-14 00:00:00,22.64
2021-01-15 00:00:00,24.2
2021-01-16 00:00:00,11.79
2021-01-17 00:00:00,10.16
2021-01-18 00:00:00,10.24
2021-01-19 00:00:00,9.16
2021-01-20 00:00:00,9.2
2021-01-21 00:00:00,7.81
2021-01-22 00:00:00,7.4
2021-01-23 00:00:00,6.78
