date,capacity_price
2020-11-01 00:00:00,33.33
2020-11-02 00:00:00,13.85
2020-11-03 00:00:00,118.0
2020-11-04 00:00:00,58.82
2020-11-05 00:00:00,32.0
2020-11-06 00:00:00,19.0
2020-11-07 00:00:00,13.95
2020-11-08 00:00:00,10.7
2020-11-09 00:00:00,9.55
2020-11-10 00:00:00,6.67
2020-11-11 00:00:00,5.0
2020-11-12 00:00:00,4.55
2020-11-13 00:00:00,3.7
2020-11-14 00:00:00,15.0
2020-11-15 00:00:00,41.0
2020-11-16 00:00:00,21.56
2020-11-17 00:00:00,16.6
2020-11-18 00:00:00,18.5
2020-11-19 00:00:00,14.41
2020-11-20 00:00:00,10.0
2020-11-21 00:00:00,15.45
2020-11-22 00:00:00,13.92
2020-11-23 00:00:00,10.04
2020-11-24 00:00:00,7.5
2020-11-25 00:00:00,5.12
2020-11-26 00:00:00,4.29
2020-11-27 00:00:00,4.5
2020-11-28 00:00:00,5.81
2020-11-29 00:00:00,5.22
2020-11-30 00:00:00,6.83
2020-12-01 00:00:00,4.33
2020-12-02 00:00:00,3.67
2020-12-03 00:00:00,7.0
2020-12-04 00:00:00,4.27
2020-12-05 00:00:00,3.8
2020-12-06 00:00:00,3.04
2020-12-07 00:00:00,3.0
2020-12-08 00:00:00,3.0
2020-12-09 00:00:00,7.8
2020-12-10 00:00:00,6.55
2020-12-11 00:00:00,9.75
2020-12-12 00:00:00,5.85
2020-12-13 00:00:00,4.5
2020-12-14 00:00:00,3.57
2020-12-15 00:00:00,3.0
2020-12-16 00:00:00,2.66
2020-12-17 00:00:00,2.4
2020-12-18 00:00:00,4.0
2020-12-19 00:00:00,5.27
2020-12-20 00:00:00,4.3
2020-12-21 00:00:00,30.96
2020-12-22 00:00:00,13.7
2020-12-23 00:00:00,6.52
2020-12-24 00:00:00,8.76
2020-12-25 00:00:00,7.15
2020-12-26 00:00:00,104.61
2020-12-27 00:00:00,91.0
2020-12-28 00:00:00,22.21
2020-12-29 00:00:00,7.7
2020-12-30 00:00:00,6.31
2020-12-31 00:00:00,5.44
2021-01-01 00:00:00,4.76
2021-01-02 00:00:00,3.92
2021-01-03 00:00:00,5.08
2021-01-04 00:00:00,3.8
2021-01-05 00:00:00,3.34
2021-01-06 00:00:00,3.1
2021-01-07 00:00:00,2.97
2021-01-08 00:00:00,2.67
2021-01-09 00:00:00,2.64
2021-01-10 00:00:00,2.28
2021-01-11 00:00:00,9.0
2021-01-12 00:00:00,7.65
2021-01-13 00:00:00,5.2
2021-01-14 00:00:00,3.25
2021-01-15 00:00:00,2.76
2021-01-16 00:00:00,2.4
2021-01-17 00:00:00,2.08
2021-01-18 00:00:00,4.4
2021-01-19 00:00:00,5.0
2021-01-20 00:00:00,5.28
2021-01-21 00:00:00,4.9
2021-01-22 00:00:00,3.7
2021-01-23 00:00:00,2.46
2021-01-24 00:00:00,1.9
2021-01-25 00:00:00,2.0
2021-01-26 00:00:00,1.7
2021-01-27 00:00:00,1.54
2021-01-28 00:00:00,1.47
2021-01-29 00:00:00,1.46
2021-01-30 00:00:00,1.56
2021-01-31 00:00:00,1.67
2021-02-01 00:00:00,1.44
2021-02-02 00:00:00,6.28
2021-02-03 00:00:00,20.0
2021-02-04 00:00:00,8.67
2021-02-05 00:00:00,7.11
2021-02-06 00:00:00,20.46
2021-02-07 00:00:00,18.0
2021-02-08 00:00:00,9.0
2021-02-09 00:00:00,5.45
2021-02-10 00:00:00,4.8
2021-02-11 00:00:00,3.76
2021-02-12 00:00:00,4.12
2021-02-13 00:00:00,5.0
2021-02-14 00:00:00,5.0
2021-02-15 00:00:00,4.58
2021-02-16 00:00:00,6.08
2021-02-17 00:00:00,5.47
2021-02-18 00:00:00,13.93
2021-02-19 00:00:00,7.5
2021-02-20 00:00:00,17.06
2021-02-21 00:00:00,11.12
2021-02-22 00:00:00,6.23
2021-02-23 00:00:00,5.66
2021-02-24 00:00:00,6.04
2021-02-25 00:00:00,5.0
2021-02-26 00:00:00,4.8
2021-02-27 00:00:00,7.26
2021-02-28 00:00:00,5.46
2021-03-01 00:00:00,4.88
2021-03-02 00:00:00,4.14
2021-03-03 00:00:00,3.74
2021-03-04 00:00:00,3.32
2021-03-05 00:00:00,2.76
2021-03-06 00:00:00,4.28
2021-03-07 00:00:00,3.63
2021-03-08 00:00:00,2.94
2021-03-09 00:00:00,2.42
2021-03-10 00:00:00,17.12
2021-03-11 00:00:00,42.83
2021-03-12 00:00:00,43.0
2021-03-13 00:00:00,43.35
2021-03-14 00:00:00,31.92
2021-03-15 00:00:00,19.5
2021-03-16 00:00:00,9.0
2021-03-17 00:00:00,6.3
2021-03-18 00:00:00,5.54
2021-03-19 00:00:00,4.33
2021-03-20 00:00:00,4.67
2021-03-21 00:00:00,5.7
2021-03-22 00:00:00,4.26
2021-03-23 00:00:00,3.52
2021-03-24 00:00:00,3.39
2021-03-25 00:00:00,2.86
