date,capacity_price
2020-11-01 00:00:00,42.22
2020-11-02 00:00:00,20.0
2020-11-03 00:00:00,118.0
2020-11-04 00:00:00,65.88
2020-11-05 00:00:00,33.11
2020-11-06 00:00:00,20.9
2020-11-07 00:00:00,14.9
2020-11-08 00:00:00,10.9
2020-11-09 00:00:00,9.27
2020-11-10 00:00:00,6.5
2020-11-11 00:00:00,5.0
2020-11-12 00:00:00,6.67
2020-11-13 00:00:00,5.0
2020-11-14 00:00:00,5.96
2020-11-15 00:00:00,48.34
2020-11-16 00:00:00,25.0
2020-11-17 00:00:00,18.33
2020-11-18 00:00:00,10.0
2020-11-19 00:00:00,14.21
2020-11-20 00:00:00,8.6
2020-11-21 00:00:00,13.2
2020-11-22 00:00:00,19.21
2020-11-23 00:00:00,9.4
2020-11-24 00:00:00,7.5
2020-11-25 00:00:00,5.46
2020-11-26 00:00:00,4.16
2020-11-27 00:00:00,3.25
2020-11-28 00:00:00,6.0
2020-11-29 00:00:00,5.4
2020-11-30 00:00:00,3.6
2020-12-01 00:00:00,7.33
2020-12-02 00:00:00,5.0
2020-12-03 00:00:00,4.91
2020-12-04 00:00:00,5.4
2020-12-05 00:00:00,4.09
2020-12-06 00:00:00,3.23
2020-12-07 00:00:00,2.77
2020-12-08 00:00:00,2.48
2020-12-09 00:00:00,2.29
2020-12-10 00:00:00,2.5
2020-12-11 00:00:00,4.8
2020-12-12 00:00:00,4.56
2020-12-13 00:00:00,3.23
2020-12-14 00:00:00,3.79
2020-12-15 00:00:00,3.19
2020-12-16 00:00:00,2.84
2020-12-17 00:00:00,3.06
2020-12-18 00:00:00,3.1
2020-12-19 00:00:00,5.0
2020-12-20 00:00:00,3.96
2020-12-21 00:00:00,4.36
2020-12-22 00:00:00,16.33
2020-12-23 00:00:00,6.09
2020-12-24 00:00:00,12.8
2020-12-25 00:00:00,10.12
2020-12-26 00:00:00,28.35
2020-12-27 00:00:00,91.12
2020-12-28 00:00:00,26.63
2020-12-29 00:00:00,8.5
2020-12-30 00:00:00,7.26
2020-12-31 00:00:00,6.3
2021-01-01 00:00:00,5.83
2021-01-02 00:00:00,4.6
2021-01-03 00:00:00,5.04
2021-01-04 00:00:00,4.2
2021-01-05 00:00:00,3.68
2021-01-06 00:00:00,3.25
2021-01-07 00:00:00,2.87
2021-01-08 00:00:00,2.51
2021-01-09 00:00:00,2.59
2021-01-10 00:00:00,2.24
2021-01-11 00:00:00,2.07
2021-01-12 00:00:00,2.21
2021-01-13 00:00:00,2.0
2021-01-14 00:00:00,1.84
2021-01-15 00:00:00,1.7
2021-01-16 00:00:00,1.62
2021-01-17 00:00:00,1.48
2021-01-18 00:00:00,1.46
2021-01-19 00:00:00,1.5
2021-01-20 00:00:00,1.41
2021-01-21 00:00:00,7.35
2021-01-22 00:00:00,2.8
2021-01-23 00:00:00,1.89
2021-01-24 00:00:00,1.42
2021-01-25 00:00:00,1.52
