date,capacity_price
2020-11-01 00:00:00,16.22
2020-11-02 00:00:00,22.84
2020-11-03 00:00:00,130.0
2020-11-04 00:00:00,76.28
2020-11-05 00:00:00,35.33
2020-11-06 00:00:00,20.62
2020-11-07 00:00:00,13.67
2020-11-08 00:00:00,10.3
2020-11-09 00:00:00,9.99
2020-11-10 00:00:00,7.0
2020-11-11 00:00:00,5.11
2020-11-12 00:00:00,6.0
2020-11-13 00:00:00,4.61
2020-11-14 00:00:00,6.06
2020-11-15 00:00:00,29.0
2020-11-16 00:00:00,226.32
2020-11-17 00:00:00,60.86
2020-11-18 00:00:00,24.56
2020-11-19 00:00:00,21.5
2020-11-20 00:00:00,13.22
2020-11-21 00:00:00,12.5
2020-11-22 00:00:00,13.0
2020-11-23 00:00:00,13.33
2020-11-24 00:00:00,8.93
2020-11-25 00:00:00,6.1
2020-11-26 00:00:00,4.68
2020-11-27 00:00:00,3.5
2020-11-28 00:00:00,5.84
2020-11-29 00:00:00,5.15
2020-11-30 00:00:00,4.45
2020-12-01 00:00:00,3.77
2020-12-02 00:00:00,3.4
2020-12-03 00:00:00,3.91
2020-12-04 00:00:00,4.35
2020-12-05 00:00:00,3.8
2020-12-06 00:00:00,3.12
2020-12-07 00:00:00,3.0
2020-12-08 00:00:00,2.31
2020-12-09 00:00:00,2.63
2020-12-10 00:00:00,2.5
2020-12-11 00:00:00,5.0
2020-12-12 00:00:00,4.25
2020-12-13 00:00:00,3.19
2020-12-14 00:00:00,3.93
2020-12-15 00:00:00,3.19
2020-12-16 00:00:00,3.0
2020-12-17 00:00:00,3.0
2020-12-18 00:00:00,4.1
2020-12-19 00:00:00,4.8
2020-12-20 00:00:00,3.86
2020-12-21 00:00:00,5.75
2020-12-22 00:00:00,5.14
2020-12-23 00:00:00,3.97
2020-12-24 00:00:00,6.14
2020-12-25 00:00:00,5.0
2020-12-26 00:00:00,34.38
2020-12-27 00:00:00,47.56
2020-12-28 00:00:00,17.73
2020-12-29 00:00:00,7.5
2020-12-30 00:00:00,6.0
2020-12-31 00:00:00,5.22
2021-01-01 00:00:00,5.0
2021-01-02 00:00:00,3.98
2021-01-03 00:00:00,4.02
2021-01-04 00:00:00,3.65
2021-01-05 00:00:00,3.12
2021-01-06 00:00:00,3.04
2021-01-07 00:00:00,2.74
2021-01-08 00:00:00,2.47
2021-01-09 00:00:00,2.6
2021-01-10 00:00:00,2.16
2021-01-11 00:00:00,2.0
2021-01-12 00:00:00,2.02
2021-01-13 00:00:00,2.0
2021-01-14 00:00:00,1.91
2021-01-15 00:00:00,1.8
