date,capacity_price
2020-11-01 00:00:00,82.5
2020-11-02 00:00:00,154.69
2020-11-03 00:00:00,389.0
2020-11-04 00:00:00,211.18
2020-11-05 00:00:00,87.92
2020-11-06 00:00:00,50.48
2020-11-07 00:00:00,32.91
2020-11-08 00:00:00,25.29
2020-11-09 00:00:00,29.0
2020-11-10 00:00:00,25.4
2020-11-11 00:00:00,19.52
2020-11-12 00:00:00,17.08
2020-11-13 00:00:00,15.8
2020-11-14 00:00:00,14.2
2020-11-15 00:00:00,80.0
2020-11-16 00:00:00,128.0
2020-11-17 00:00:00,62.5
2020-11-18 00:00:00,31.36
2020-11-19 00:00:00,105.26
2020-11-20 00:00:00,52.63
2020-11-21 00:00:00,26.0
2020-11-22 00:00:00,80.0
2020-11-23 00:00:00,54.0
2020-11-24 00:00:00,38.25
2020-11-25 00:00:00,35.0
2020-11-26 00:00:00,34.08
2020-11-27 00:00:00,28.28
2020-11-28 00:00:00,23.14
2020-11-29 00:00:00,24.99
2020-11-30 00:00:00,24.38
2020-12-01 00:00:00,28.22
2020-12-02 00:00:00,23.0
2020-12-03 00:00:00,21.1
2020-12-04 00:00:00,27.0
2020-12-05 00:00:00,19.5
2020-12-06 00:00:00,15.07
2020-12-07 00:00:00,16.82
2020-12-08 00:00:00,20.0
2020-12-09 00:00:00,20.0
2020-12-10 00:00:00,18.75
2020-12-11 00:00:00,23.28
2020-12-12 00:00:00,24.0
2020-12-13 00:00:00,19.12
2020-12-14 00:00:00,31.12
2020-12-15 00:00:00,24.99
2020-12-16 00:00:00,20.52
2020-12-17 00:00:00,24.31
2020-12-18 00:00:00,19.24
2020-12-19 00:00:00,19.0
2020-12-20 00:00:00,19.25
2020-12-21 00:00:00,19.56
2020-12-22 00:00:00,125.45
2020-12-23 00:00:00,31.46
2020-12-24 00:00:00,70.0
2020-12-25 00:00:00,49.17
2020-12-26 00:00:00,35.32
2020-12-27 00:00:00,214.61
2020-12-28 00:00:00,86.32
2020-12-29 00:00:00,27.76
2020-12-30 00:00:00,26.47
2020-12-31 00:00:00,28.11
2021-01-01 00:00:00,22.33
2021-01-02 00:00:00,19.33
2021-01-03 00:00:00,18.52
2021-01-04 00:00:00,21.24
2021-01-05 00:00:00,19.44
2021-01-06 00:00:00,19.64
2021-01-07 00:00:00,19.08
2021-01-08 00:00:00,17.68
2021-01-09 00:00:00,17.83
2021-01-10 00:00:00,15.52
2021-01-11 00:00:00,15.89
2021-01-12 00:00:00,42.5
2021-01-13 00:00:00,32.0
2021-01-14 00:00:00,20.0
2021-01-15 00:00:00,17.31
2021-01-16 00:00:00,14.56
2021-01-17 00:00:00,13.8
2021-01-18 00:00:00,13.76
2021-01-19 00:00:00,21.8
2021-01-20 00:00:00,42.12
2021-01-21 00:00:00,66.68
2021-01-22 00:00:00,53.67
2021-01-23 00:00:00,20.57
2021-01-24 00:00:00,15.65
2021-01-25 00:00:00,13.88
2021-01-26 00:00:00,14.4
2021-01-27 00:00:00,12.63
2021-01-28 00:00:00,12.0
2021-01-29 00:00:00,13.64
2021-01-30 00:00:00,14.12
2021-01-31 00:00:00,13.0
2021-02-01 00:00:00,12.56
2021-02-02 00:00:00,11.3
2021-02-03 00:00:00,17.65
2021-02-04 00:00:00,42.35
2021-02-05 00:00:00,22.58
2021-02-06 00:00:00,24.5
2021-02-07 00:00:00,120.02
2021-02-08 00:00:00,53.0
2021-02-09 00:00:00,50.4
2021-02-10 00:00:00,32.67
2021-02-11 00:00:00,29.36
2021-02-12 00:00:00,26.0
2021-02-13 00:00:00,23.16
2021-02-14 00:00:00,20.04
2021-02-15 00:00:00,23.8
2021-02-16 00:00:00,19.1
2021-02-17 00:00:00,34.04
2021-02-18 00:00:00,27.94
2021-02-19 00:00:00,38.21
2021-02-20 00:00:00,24.0
2021-02-21 00:00:00,77.0
2021-02-22 00:00:00,55.0
2021-02-23 00:00:00,34.0
2021-02-24 00:00:00,31.16
2021-02-25 00:00:00,37.71
2021-02-26 00:00:00,27.01
2021-02-27 00:00:00,23.4
2021-02-28 00:00:00,29.0
2021-03-01 00:00:00,28.68
2021-03-02 00:00:00,22.02
2021-03-03 00:00:00,18.21
2021-03-04 00:00:00,17.74
2021-03-05 00:00:00,16.0
2021-03-06 00:00:00,15.52
2021-03-07 00:00:00,17.0
2021-03-08 00:00:00,18.56
2021-03-09 00:00:00,16.2
2021-03-10 00:00:00,14.2
2021-03-11 00:00:00,80.0
2021-03-12 00:00:00,82.32
2021-03-13 00:00:00,75.0
2021-03-14 00:00:00,97.0
2021-03-15 00:00:00,56.0
2021-03-16 00:00:00,33.33
2021-03-17 00:00:00,20.16
2021-03-18 00:00:00,17.14
2021-03-19 00:00:00,15.68
2021-03-20 00:00:00,13.5
2021-03-21 00:00:00,20.42
2021-03-22 00:00:00,18.48
2021-03-23 00:00:00,16.58
