date,capacity_price
2020-11-01 00:00:00,6.45
2020-11-02 00:00:00,6.56
2020-11-03 00:00:00,1103.5
2020-11-04 00:00:00,160.52
2020-11-05 00:00:00,68.1
2020-11-06 00:00:00,48.36
2020-11-07 00:00:00,30.85
2020-11-08 00:00:00,21.5
2020-11-09 00:00:00,35.72
2020-11-10 00:00:00,29.12
2020-11-11 00:00:00,24.75
2020-11-12 00:00:00,20.0
2020-11-13 00:00:00,17.2
2020-11-14 00:00:00,13.2
2020-11-15 00:00:00,37.78
2020-11-16 00:00:00,29.0
2020-11-17 00:00:00,25.92
2020-11-18 00:00:00,21.11
2020-11-19 00:00:00,24.0
2020-11-20 00:00:00,20.79
2020-11-21 00:00:00,14.67
2020-11-22 00:00:00,26.67
2020-11-23 00:00:00,23.3
2020-11-24 00:00:00,20.02
2020-11-25 00:00:00,18.0
2020-11-26 00:00:00,23.89
2020-11-27 00:00:00,32.0
2020-11-28 00:00:00,17.6
2020-11-29 00:00:00,13.18
2020-11-30 00:00:00,38.0
2020-12-01 00:00:00,23.74
2020-12-02 00:00:00,30.03
2020-12-03 00:00:00,22.56
2020-12-04 00:00:00,16.92
2020-12-05 00:00:00,12.5
2020-12-06 00:00:00,10.0
2020-12-07 00:00:00,16.25
2020-12-08 00:00:00,28.0
2020-12-09 00:00:00,30.0
2020-12-10 00:00:00,27.88
2020-12-11 00:00:00,20.57
2020-12-12 00:00:00,14.1
2020-12-13 00:00:00,9.88
2020-12-14 00:00:00,13.64
2020-12-15 00:00:00,25.76
2020-12-16 00:00:00,21.48
2020-12-17 00:00:00,17.16
2020-12-18 00:00:00,14.96
2020-12-19 00:00:00,12.0
2020-12-20 00:00:00,11.23
2020-12-21 00:00:00,14.75
2020-12-22 00:00:00,9.52
2020-12-23 00:00:00,11.8
2020-12-24 00:00:00,9.45
2020-12-25 00:00:00,7.64
2020-12-26 00:00:00,7.3
2020-12-27 00:00:00,32.23
2020-12-28 00:00:00,12.65
2020-12-29 00:00:00,10.04
2020-12-30 00:00:00,8.64
2020-12-31 00:00:00,9.08
2021-01-01 00:00:00,9.0
2021-01-02 00:00:00,7.82
2021-01-03 00:00:00,6.76
2021-01-04 00:00:00,7.64
2021-01-05 00:00:00,7.42
2021-01-06 00:00:00,6.2
2021-01-07 00:00:00,6.92
2021-01-08 00:00:00,7.08
2021-01-09 00:00:00,6.28
2021-01-10 00:00:00,5.19
2021-01-11 00:00:00,6.05
2021-01-12 00:00:00,6.5
2021-01-13 00:00:00,6.0
2021-01-14 00:00:00,5.96
2021-01-15 00:00:00,6.89
2021-01-16 00:00:00,5.82
2021-01-17 00:00:00,5.36
2021-01-18 00:00:00,5.41
2021-01-19 00:00:00,5.24
2021-01-20 00:00:00,5.28
2021-01-21 00:00:00,5.42
2021-01-22 00:00:00,5.64
2021-01-23 00:00:00,4.58
2021-01-24 00:00:00,3.96
2021-01-25 00:00:00,5.38
2021-01-26 00:00:00,5.36
2021-01-27 00:00:00,5.14
2021-01-28 00:00:00,4.8
2021-01-29 00:00:00,4.19
2021-01-30 00:00:00,3.83
2021-01-31 00:00:00,3.57
2021-02-01 00:00:00,615.06
2021-02-02 00:00:00,108.94
2021-02-03 00:00:00,59.13
2021-02-04 00:00:00,38.0
2021-02-05 00:00:00,30.2
2021-02-06 00:00:00,18.72
2021-02-07 00:00:00,12.23
2021-02-08 00:00:00,6350.0
